term,coefficient,odds_ratio,or_lo,or_hi,p_value
InternetService_Fiber_optic,1.4768354953764475,4.379066156492649,2.675756378168131,7.166654094296758,4.2026318003358045e-09
StreamingTV_Yes,0.5543840056442878,1.740868289380544,1.3778638346935808,2.1995079083011957,3.3768214593820614e-06
StreamingMovies_Yes,0.4837008842188663,1.6220663874271568,1.2848313587212925,2.047816896249751,4.751128281623794e-05
PaymentMethod_Electronic_check,0.4360389205837007,1.5465689869457173,1.240554216587702,1.9280702120068989,0.00010611368477664669
MultipleLines_Yes,0.40927824315200273,1.5057306214388726,1.2170280806630036,1.8629189748058823,0.0001642816950711396
PaperlessBilling_Yes,0.3459621295308778,1.4133490906110762,1.1871507994009642,1.6826469332616563,0.00010111453543364482
senior,0.21625355497595164,1.241417106583219,1.0189050210950779,1.5125221690056267,0.03188893609647544
DeviceProtection_Yes,0.09785152869375187,1.1027990389391642,0.9060152512064351,1.342323673542711,0.32918544868695176
OnlineBackup_Yes,0.034905185370374056,1.0355215215553673,0.8544809050267836,1.2549195836865794,0.7218339385359667
PaymentMethod_Credit_card_automatic,0.022414763865453047,1.022667862193899,0.7846047591979124,1.3329635642707458,0.8683238578368564
PaymentMethod_Mailed_check,-0.004515777862541183,0.9954944029318102,0.7607070764972589,1.3027473213891319,0.9737515058067591
MonthlyCharges,-0.024188964553367193,0.9761012437941192,0.9622324175432468,0.9901699638939933,0.0009231267003785555
tenure,-0.03364612891104206,0.9669136068748841,0.9615334684325251,0.9723238491988129,3.128230500853768e-32
Partner_Yes,-0.07507185187057412,0.9276768286184165,0.7729586816809131,1.1133639077370279,0.4199991987651037
Dependents_Yes,-0.14647017932782655,0.8637514896007216,0.6975875361863985,1.06949536378774,0.17906776784995782
TechSupport_Yes,-0.23591924836227718,0.7898444525907455,0.6357804312818253,0.9812416812367033,0.03308801571506738
OnlineSecurity_Yes,-0.24375500433940056,0.7836796088489003,0.6341277969770085,0.9685015106628936,0.0240577529299677
Contract_One_year,-0.7082642288409752,0.49249832034590574,0.382892455119994,0.63347969462476,3.5001578728880476e-08
Contract_Two_year,-1.298023382585574,0.27307101686615376,0.18220630981109392,0.40924916557294255,3.2156748648676045e-10
InternetService_No,-1.443543641582017,0.23608965746671065,0.156599495570732,0.35592915647402695,5.502356003280598e-12
