deciles_targeted,offer_discount,customers_contacted,precision_in_target,wasted_contacts,share_of_base_contacted,churners_captured,share_of_churners_captured,share_of_churn_revenue_captured,monthly_churn_revenue_in_target,assumed_save_rate,programme_cost,programme_benefit,net_value,return_on_spend,offer_cost_per_contact,margin_saved_per_save,breakeven_save_rate,months_gained
1,0.1,705,0.7659574468085106,165,0.10009938946471673,540,0.28892455858747995,0.32649300999742326,45425.25,0.25,79810.32000000002,161072.99430944832,81262.6743094483,2.0181975753191854,113.20612765957449,1193.1332911810987,0.09488137536377869,23.83955275542064
1,0.15,705,0.7659574468085106,165,0.10009938946471673,540,0.28892455858747995,0.32649300999742326,45425.25,0.25,115485.48000000001,161072.99430944832,45587.51430944831,1.3947467188901004,163.80919148936172,1193.1332911810987,0.13729328709553046,23.83955275542064
1,0.2,705,0.7659574468085106,165,0.10009938946471673,540,0.28892455858747995,0.32649300999742326,45425.25,0.25,151160.64000000004,161072.99430944832,9912.354309448274,1.06557496918145,214.41225531914898,1193.1332911810987,0.17970519882728225,23.83955275542064
2,0.1,1409,0.6756564939673527,457,0.20005679397983814,952,0.5093632958801498,0.560068453545709,77922.8,0.25,155222.27999999997,275432.47190050315,120210.19190050318,1.7744390296322359,110.16485450674236,1157.2792936995932,0.09519297122699491,23.83955275542064
2,0.15,1409,0.6756564939673527,457,0.20005679397983814,952,0.5093632958801498,0.560068453545709,77922.8,0.25,224379.41999999998,275432.47190050315,51053.05190050317,1.2275300109987948,159.24728176011354,1157.2792936995932,0.13760488295874668,23.83955275542064
2,0.2,1409,0.6756564939673527,457,0.20005679397983814,952,0.5093632958801498,0.560068453545709,77922.8,0.25,293536.55999999994,275432.47190050315,-18104.08809949679,0.9383242479250394,208.32970901348472,1157.2792936995932,0.18001679469049844,23.83955275542064
3,0.1,2113,0.587789872219593,871,0.3000141984949595,1242,0.6645264847512039,0.7053701605359272,98138.75,0.25,224099.21999999997,344299.6528521651,120200.43285216513,1.5363714913963786,106.05736867013724,1108.8555647412725,0.09564579197010517,23.83955275542064
3,0.15,2113,0.587789872219593,871,0.3000141984949595,1242,0.6645264847512039,0.7053701605359272,98138.75,0.25,323470.82999999996,344299.6528521651,20828.822852165147,1.0643916573626289,153.08605300520586,1108.8555647412725,0.13805770370185697,23.83955275542064
3,0.2,2113,0.587789872219593,871,0.3000141984949595,1242,0.6645264847512039,0.7053701605359272,98138.75,0.25,422842.43999999994,344299.6528521651,-78542.78714783484,0.8142504637239468,200.11473734027447,1108.8555647412725,0.18046961543360873,23.83955275542064
4,0.1,2817,0.5264465743698971,1334,0.39997160301008094,1483,0.7934724451578384,0.8250995375935675,114796.8,0.25,290594.88,398433.69935922825,107838.81935922825,1.3710967631612376,103.15757188498402,1074.6694520815327,0.09599004762364614,23.83955275542064
4,0.15,2817,0.5264465743698971,1334,0.39997160301008094,1483,0.7934724451578384,0.8250995375935675,114796.8,0.25,418990.32,398433.69935922825,-20556.620640771755,0.9509377194185017,148.73635782747604,1074.6694520815327,0.13840195935539792,23.83955275542064
4,0.2,2817,0.5264465743698971,1334,0.39997160301008094,1483,0.7934724451578384,0.8250995375935675,114796.8,0.25,547385.76,398433.69935922825,-148952.06064077176,0.7278846628367319,194.31514376996805,1074.6694520815327,0.1808138710871497,23.83955275542064
